# zlsx v1 frozen function inventory — the authoritative count source
# (goal_formula.md §7). One row per v1 function name; every F-batch PR
# regenerates its count from this file rather than from prose.
#
# schema: name<TAB>milestone<TAB>batch   ("-" = the ladder row names no
# F-batch label). Sorted by name, ASCII-ascending, no duplicates.
# Frozen at M3a2 (2026-08-03). Adding a row is a ladder change, not an
# implementation detail.
ABS	M4d	F1a-2
ADDRESS	M7b2	F2-criteria
AND	M4c	F1a-1
AVERAGE	M4e	F1b
AVERAGEIF	M4e	F1b
AVERAGEIFS	M7b2	F2-criteria
BIN2DEC	M9d	F4b
BITAND	M9d	F4b
BITLSHIFT	M9d	F4b
BITOR	M9d	F4b
BITRSHIFT	M9d	F4b
BITXOR	M9d	F4b
CHAR	M4f	F1c-text
CHOOSE	M4e	F1b
CLEAN	M8c	F3
CODE	M4f	F1c-text
COLUMN	M4e	F1b
COLUMNS	M4e	F1b
COMPLEX	M9d	F4b
CONCAT	M4f	F1c-text
CONCATENATE	M4f	F1c-text
CONVERT	M9d	F4b
COUNT	M4e	F1b
COUNTA	M4e	F1b
COUNTBLANK	M4e	F1b
COUNTIF	M4e	F1b
COUNTIFS	M7b2	F2-criteria
DATE	M4g	F1c-date
DATEDIF	M8c	F3
DATEVALUE	M4g	F1c-date
DAY	M4g	F1c-date
DAYS	M8c	F3
DAYS360	M8c	F3
DB	M9c2	F4a-flows
DDB	M9c2	F4a-flows
DEC2BIN	M9d	F4b
DEC2HEX	M9d	F4b
DEC2OCT	M9d	F4b
DELTA	M9d	F4b
DOLLAR	M8c	F3
EDATE	M4g	F1c-date
EOMONTH	M4g	F1c-date
EXACT	M4f	F1c-text
EXP	M4d	F1a-2
FALSE	M4c	F1a-1
FILTER	M7a	F2-DA
FIND	M4f	F1c-text
FIXED	M8c	F3
FV	M9c1	F4a-TVM
GESTEP	M9d	F4b
HEX2DEC	M9d	F4b
HLOOKUP	M4e	F1b
HOUR	M4g	F1c-date
IF	M4c	F1a-1
IFERROR	M4c	F1a-1
IFNA	M4c	F1a-1
IFS	M4c	F1a-1
IMABS	M9d	F4b
IMAGINARY	M9d	F4b
IMPRODUCT	M9d	F4b
IMREAL	M9d	F4b
IMSUM	M9d	F4b
INDEX	M4e	F1b
INDIRECT	M5a2	-
INT	M4d	F1a-2
IPMT	M9c1	F4a-TVM
IRR	M9c2	F4a-flows
ISBLANK	M4c	F1a-1
ISERR	M4c	F1a-1
ISERROR	M4c	F1a-1
ISLOGICAL	M4c	F1a-1
ISNA	M4c	F1a-1
ISNUMBER	M4c	F1a-1
ISOWEEKNUM	M8c	F3
ISTEXT	M4c	F1a-1
LARGE	M7b3	F2-stats
LEFT	M4f	F1c-text
LEN	M4f	F1c-text
LN	M4d	F1a-2
LOG	M4d	F1a-2
LOG10	M4d	F1a-2
LOWER	M4f	F1c-text
MATCH	M4e	F1b
MAX	M4e	F1b
MAXIFS	M7b2	F2-criteria
MEDIAN	M7b3	F2-stats
MID	M4f	F1c-text
MIN	M4e	F1b
MINIFS	M7b2	F2-criteria
MINUTE	M4g	F1c-date
MOD	M4d	F1a-2
MODE.SNGL	M7b3	F2-stats
MONTH	M4g	F1c-date
N	M4c	F1a-1
NA	M4c	F1a-1
NETWORKDAYS	M8c	F3
NETWORKDAYS.INTL	M8c	F3
NOT	M4c	F1a-1
NOW	M4g	F1c-date
NPER	M9c1	F4a-TVM
NPV	M9c2	F4a-flows
NUMBERVALUE	M8c	F3
OCT2DEC	M9d	F4b
OFFSET	M5a2	-
OR	M4c	F1a-1
PERCENTILE.INC	M7b3	F2-stats
PI	M4d	F1a-2
PMT	M9c1	F4a-TVM
POWER	M4d	F1a-2
PPMT	M9c1	F4a-TVM
PROPER	M8b	-
PV	M9c1	F4a-TVM
QUARTILE.INC	M7b3	F2-stats
RAND	M4d	F1a-2
RANDARRAY	M7a	F2-DA
RANDBETWEEN	M4d	F1a-2
RANK.EQ	M7b3	F2-stats
RATE	M9c1	F4a-TVM
REPLACE	M4f	F1c-text
REPT	M4f	F1c-text
RIGHT	M4f	F1c-text
ROUND	M4d	F1a-2
ROUNDDOWN	M4d	F1a-2
ROUNDUP	M4d	F1a-2
ROW	M4e	F1b
ROWS	M4e	F1b
SEARCH	M4f	F1c-text
SECOND	M4g	F1c-date
SEQUENCE	M7a	F2-DA
SIGN	M4d	F1a-2
SLN	M9c2	F4a-flows
SMALL	M7b3	F2-stats
SORT	M7a	F2-DA
SORTBY	M7a	F2-DA
SQRT	M4d	F1a-2
STDEV.P	M7b3	F2-stats
STDEV.S	M7b3	F2-stats
SUBSTITUTE	M4f	F1c-text
SUM	M4e	F1b
SUMIF	M4e	F1b
SUMIFS	M7b2	F2-criteria
SUMPRODUCT	M4e	F1b
SWITCH	M4c	F1a-1
SYD	M9c2	F4a-flows
T	M4c	F1a-1
TEXT	M8a	-
TEXTAFTER	M8c	F3
TEXTBEFORE	M8c	F3
TEXTJOIN	M4f	F1c-text
TEXTSPLIT	M8c	F3
TIME	M4g	F1c-date
TIMEVALUE	M4g	F1c-date
TODAY	M4g	F1c-date
TRANSPOSE	M7a	F2-DA
TRIM	M4f	F1c-text
TRUE	M4c	F1a-1
TRUNC	M4d	F1a-2
UNICHAR	M8c	F3
UNICODE	M8c	F3
UNIQUE	M7a	F2-DA
UPPER	M4f	F1c-text
VALUE	M4f	F1c-text
VAR.P	M7b3	F2-stats
VAR.S	M7b3	F2-stats
VLOOKUP	M4e	F1b
WEEKDAY	M4g	F1c-date
WEEKNUM	M8c	F3
WORKDAY	M8c	F3
WORKDAY.INTL	M8c	F3
XIRR	M9c2	F4a-flows
XLOOKUP	M4e	F1b
XMATCH	M4e	F1b
